2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:219 | {"event": "system_startup", "timestamp": "2025-09-03T10:04:20.219058", "message": "TTS logging system initialized", "data": {"log_dir": "logs", "log_level": "DEBUG"}}
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:220 | System event: TTS logging system initialized
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:219 | {"event": "system_test_start", "timestamp": "2025-09-03T10:04:20.219466", "message": "Starting comprehensive logging tests", "data": {}}
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:220 | System event: Starting comprehensive logging tests
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:219 | {"event": "system_client_init", "timestamp": "2025-09-03T10:04:20.279433", "message": "TTS client initialized", "data": {"config_path": "config_audiokit_dev_sf.ini", "endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "ssl_enabled": "true"}}
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:220 | System event: TTS client initialized
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:219 | {"event": "system_connection_failed", "timestamp": "2025-09-03T10:04:20.281835", "message": "Failed to establish gRPC channel: Config file must contain 'connection' section", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "duration_ms": 1.0480880737304688, "error": "Config file must contain 'connection' section"}}
2025-09-03 10:04:20 | INFO     | tts_utility | log_system_event:220 | System event: Failed to establish gRPC channel: Config file must contain 'connection' section
2025-09-03 10:04:21 | INFO     | tts_utility | log_system_event:219 | {"event": "system_connection_failed", "timestamp": "2025-09-03T10:04:21.288906", "message": "Failed to establish gRPC channel: Config file must contain 'connection' section", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "duration_ms": 0.9760856628417969, "error": "Config file must contain 'connection' section"}}
2025-09-03 10:04:21 | INFO     | tts_utility | log_system_event:220 | System event: Failed to establish gRPC channel: Config file must contain 'connection' section
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:219 | {"event": "system_startup", "timestamp": "2025-09-03T10:04:58.542750", "message": "TTS logging system initialized", "data": {"log_dir": "logs", "log_level": "DEBUG"}}
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:220 | System event: TTS logging system initialized
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:219 | {"event": "system_test_start", "timestamp": "2025-09-03T10:04:58.543163", "message": "Starting ALPN error capture with logging", "data": {"config_path": "config_audiokit_dev_sf.ini", "target": "AudioKit Dev SF"}}
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:220 | System event: Starting ALPN error capture with logging
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:219 | {"event": "system_config_loaded", "timestamp": "2025-09-03T10:04:58.573678", "message": "Configuration loaded successfully", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "ssl_enabled": "true", "ca_cert": "system_store"}}
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:220 | System event: Configuration loaded successfully
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:219 | {"event": "system_test_failed", "timestamp": "2025-09-03T10:04:58.573962", "message": "Test setup failed: make_tts_request() missing 3 required positional arguments: 'is_ssml', 'model_type', and 'model_rate'", "data": {"error": "make_tts_request() missing 3 required positional arguments: 'is_ssml', 'model_type', and 'model_rate'", "error_type": "TypeError"}}
2025-09-03 10:04:58 | INFO     | tts_utility | log_system_event:220 | System event: Test setup failed: make_tts_request() missing 3 required positional arguments: 'is_ssml', 'model_type', and 'model_rate'
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:219 | {"event": "system_startup", "timestamp": "2025-09-03T10:05:12.886921", "message": "TTS logging system initialized", "data": {"log_dir": "logs", "log_level": "DEBUG"}}
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:220 | System event: TTS logging system initialized
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:219 | {"event": "system_test_start", "timestamp": "2025-09-03T10:05:12.887363", "message": "Starting ALPN error capture with logging", "data": {"config_path": "config_audiokit_dev_sf.ini", "target": "AudioKit Dev SF"}}
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:220 | System event: Starting ALPN error capture with logging
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:219 | {"event": "system_config_loaded", "timestamp": "2025-09-03T10:05:12.917531", "message": "Configuration loaded successfully", "data": {"endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "ssl_enabled": "true", "ca_cert": "system_store"}}
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:220 | System event: Configuration loaded successfully
2025-09-03 10:05:12 | INFO     | tts_utility | log_request_start:143 | {"request_id": "req_1756883112_0001", "event": "request_start", "endpoint": "asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443", "timestamp": "2025-09-03T10:05:12.918737", "auth_present": false, "request_data": {"text": "Тестирование логирования с ALPN ошибкой", "language_code": "ru", "encoding": "LINEAR_PCM", "sample_rate_hertz": 22050, "voice_name": "gandzhaev", "synthesize_options": {}}}
2025-09-03 10:05:12 | INFO     | tts_utility | log_request_start:144 | Starting TTS request req_1756883112_0001 to asr-tts-ha.dev.sf.audiokit.mts-corp.ru:443
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:219 | {"event": "system_channel_created", "timestamp": "2025-09-03T10:05:12.946434", "message": "gRPC channel created", "data": {"ssl_enabled": "true", "request_id": "req_1756883112_0001"}}
2025-09-03 10:05:12 | INFO     | tts_utility | log_system_event:220 | System event: gRPC channel created
2025-09-03 10:05:22 | ERROR    | tts_utility | log_request_error:200 | {"request_id": "req_1756883112_0001", "event": "request_error", "timestamp": "2025-09-03T10:05:22.955378", "duration_ms": 10036.460876464844, "error": {"error_type": "FutureTimeoutError", "error_message": ""}}
2025-09-03 10:05:22 | ERROR    | tts_utility | log_request_error:201 | Request req_1756883112_0001 failed after 10036.46ms: 
2025-09-03 10:05:23 | INFO     | tts_utility | log_system_event:219 | {"event": "system_test_complete", "timestamp": "2025-09-03T10:05:23.048254", "message": "ALPN error logging test completed successfully", "data": {}}
2025-09-03 10:05:23 | INFO     | tts_utility | log_system_event:220 | System event: ALPN error logging test completed successfully
